location,det1,det2,det3,det4,det5,totals,treat,year,season1,season2,season3,season4,season5,uv,gv,cvb,uvVar,uvRange,iqr75 ,iqr50,max,min,median,site
b7,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.03,0.04,0.86,17.31,14.45,4.89,2.44,14.45,0,2.44,BUNP
b10,1,0,0,0,0,1,Playback,1,a,a,a,b,b,0.05,0.07,0.86,48.11,25.05,8.33,2.03,25.05,0,2.03,BUNP
b11,0,0,0,0,0,0,Playback,1,a,a,a,b,b,0.01,0.01,0.88,12.26,13.64,0.14,0,13.64,0,0,BUNP
b18,0,0,0,0,0,0,Playback,1,a,a,a,b,b,0.17,0.08,0.86,247.33,61.74,23,13.95,61.74,0,13.95,BUNP
b19,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.01,0.04,0.82,3.32,6.96,1.37,0,6.96,0,0,BUNP
b24,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.04,0.01,0.88,26.53,13.51,5.53,0.31,13.51,0,0.31,BUNP
b25,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.05,0.15,0.78,39.03,18.46,9.57,2.31,18.46,0,2.31,BUNP
b27,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.07,0.06,0.84,58.76,22.45,13.47,4.98,22.45,0,4.98,BUNP
b28,0,0,0,0,0,0,Playback,1,a,a,a,b,b,0.12,0.05,0.84,151.76,43.31,13.8,8.84,43.31,0,8.84,BUNP
b29,0,0,0,0,0,0,Playback,1,a,a,a,b,b,0.1,0.13,0.82,76.6,28.75,15.34,8.2,28.75,0,8.2,BUNP
b30,0,0,0,0,1,1,Playback,1,a,a,a,b,b,0.06,0.09,0.81,74.34,33.58,7.17,3.88,33.58,0,3.88,BUNP
b31,0,1,0,0,0,1,Playback,1,a,a,a,b,b,0.07,0.02,0.85,238.35,56.33,7.58,0.95,56.33,0,0.95,BUNP
b32,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.01,0.02,0.79,1.88,5.4,0.12,0,5.4,0,0,BUNP
b7,0,0,0,0,0,0,Playback,2,a,a,a,b,b,0.03,0.04,0.86,17.31,14.45,4.89,2.44,14.45,0,2.44,BUNP
b10,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.05,0.07,0.86,48.11,25.05,8.33,2.03,25.05,0,2.03,BUNP
b11,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.01,0.01,0.88,12.26,13.64,0.14,0,13.64,0,0,BUNP
b18,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.17,0.08,0.86,247.33,61.74,23,13.95,61.74,0,13.95,BUNP
b19,0,0,0,0,0,0,Playback,2,a,a,a,b,b,0.01,0.04,0.82,3.32,6.96,1.37,0,6.96,0,0,BUNP
b24,0,0,0,0,0,0,Playback,2,a,a,a,b,b,0.04,0.01,0.88,26.53,13.51,5.53,0.31,13.51,0,0.31,BUNP
b25,0,0,0,0,0,0,Playback,2,a,a,a,b,b,0.05,0.15,0.78,39.03,18.46,9.57,2.31,18.46,0,2.31,BUNP
b27,1,0,0,0,0,1,Playback,2,a,a,a,b,b,0.07,0.06,0.84,58.76,22.45,13.47,4.98,22.45,0,4.98,BUNP
b28,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.12,0.05,0.84,151.76,43.31,13.8,8.84,43.31,0,8.84,BUNP
b29,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.1,0.13,0.82,76.6,28.75,15.34,8.2,28.75,0,8.2,BUNP
b30,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.06,0.09,0.81,74.34,33.58,7.17,3.88,33.58,0,3.88,BUNP
b31,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.07,0.02,0.85,238.35,56.33,7.58,0.95,56.33,0,0.95,BUNP
b32,0,0,0,0,0,0,Playback,2,a,a,a,b,b,0.01,0.02,0.79,1.88,5.4,0.12,0,5.4,0,0,BUNP
