stop,plotStop,treat,dayID,day,hour,selection,seconds,minutes,lowFreq,highFreq,avgPowerDensity,maxPower ,energy,deltaTime,proximity
1,1,c,1,604,630,1,9750.1,0,5119.2,9679.7,-83.6,-67.8,71,1.715,f
1,1,c,1,604,630,2,9768.3,0.3,5073.2,9541.5,-84.4,-72.5,69.8,1.619,f
1,1,c,1,604,630,3,9781.7,0.53,4911.9,9426.3,-84.3,-70.3,70.9,2.005,f
1,1,c,1,604,630,4,9797.4,0.79,5073.2,9173,-84.3,-70.2,70.3,1.974,f
1,1,c,1,604,630,5,9809.8,1,5004.1,9725.8,-83.3,-63.6,71.9,1.918,f
1,1,c,1,604,630,6,9822.9,1.21,4888.9,9541.5,-83.7,-65.6,71.3,1.896,ff
1,1,c,1,604,630,7,9838,1.47,5257.4,9126.9,-84,-69.2,69.9,1.749,ff
1,1,c,1,604,630,8,9856.8,1.78,5234.4,9288.1,-84.2,-71.7,69.3,1.489,ff
1,1,c,1,604,630,9,9870.4,2.01,5234.4,9495.4,-83.5,-67.1,71.5,2.022,n
1,1,c,1,604,630,10,9882.2,2.2,5211.4,9610.6,-83.6,-65.4,71.7,2.117,n
1,1,c,1,604,630,11,9946.7,3.28,5211.4,8735.4,-80.4,-61.9,73.8,1.987,n
1,1,c,1,604,630,12,9963.8,3.56,5257.4,9196,-82.4,-63.4,73,2.39,f
1,1,c,1,604,630,13,9976.5,3.77,4958,9449.4,-83.7,-67.1,72.3,2.394,n
1,1,c,1,604,630,14,9991.2,4.02,5464.7,9311.2,-83.5,-67.3,71.3,2.134,n
1,1,c,1,604,630,15,10005.1,4.25,5211.4,9702.7,-83.1,-64.6,72.7,2.295,n
1,1,c,1,604,630,16,10023.7,4.56,5303.5,9933.1,-83.1,-63.3,72.8,2.355,n
1,1,c,1,604,630,17,10037.2,4.79,5280.5,9702.7,-83.5,-65.9,72.6,2.503,n
1,1,c,1,604,630,18,10074.4,5.41,5073.2,9887,-83.9,-65.9,71.3,1.901,f
1,1,c,1,604,630,19,10086.2,5.6,5142.3,9541.5,-78.8,-59.8,77,2.368,nn
1,1,c,1,604,630,20,10102.7,5.88,4911.9,9403.3,-80.7,-61.5,75.4,2.468,nn
1,1,c,1,604,630,21,10117.2,6.12,5372.6,9587.6,-79.9,-59.9,76.2,2.632,nn
1,1,c,1,604,630,22,10131.8,6.36,5211.4,9288.1,-78.3,-58.7,78.1,2.892,nn
1,1,c,1,604,630,23,10149.2,6.65,5234.4,9380.3,-78.6,-58.7,77.9,2.871,nn
1,1,c,1,604,630,24,10166.4,6.94,5326.5,9472.4,-76.8,-56.3,79,2.485,nn
1,1,c,1,604,630,25,10184.9,7.25,5027.1,9449.4,-77.2,-56,79.2,2.645,nn
1,1,c,1,604,630,26,10200.7,7.51,5050.1,9518.5,-78.4,-59.4,77.4,2.325,nn
1,1,c,1,604,630,27,10214.3,7.74,5464.7,9633.6,-76.4,-58.1,79.1,2.355,nn
1,1,c,1,604,630,28,10228.2,7.97,5050.1,9794.9,-76.8,-55.1,79.3,2.338,nn
1,1,c,1,604,630,29,10240.6,8.17,5165.3,9979.1,-78,-54.6,80.2,3.732,nn
1,1,c,1,604,630,30,10260.1,8.5,4842.8,9587.6,-79,-59.3,77.8,2.689,nn
1,1,c,2,604,830,1,15278.5,0,5625.9,8827.5,-79.1,-58.7,75,2.165,nn
1,1,c,2,604,830,2,15295.4,0.28,5810.2,8758.4,-78.4,-58.9,75.5,2.221,nn
1,1,c,2,604,830,3,15310.6,0.54,5902.3,8850.5,-79.5,-61.6,74.5,2.256,nn
1,1,c,2,604,830,4,15323.8,0.76,5888.3,8650.7,-79.7,-63.6,74.1,2.321,nn
1,1,c,2,604,830,5,15339.4,1.01,5710.1,8918,-78.2,-57.3,76.3,2.355,nn
1,1,c,2,604,830,6,15353.7,1.25,5621,8680.4,-77.1,-58.6,77,2.269,nn
1,1,c,3,604,1900,1,5815.2,0,5464.7,8389.9,-78.8,-58.6,73.7,1.653,nn
