Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Avg Power Density (dB FS),Max Power (dB FS),energy,Delta Time (s)
1,Spectrogram 1,1,87.32982598,89.76676451,4698.7,7854.1,-54.8,-34.1,99.6,2.437
2,Spectrogram 1,1,99.11660564,101.1433058,4813.8,7646.8,-54,-30.5,99.2,2.027
3,Spectrogram 1,1,121.577694,123.5003038,4859.9,7485.6,-51.7,-31.5,101,1.923
4,Spectrogram 1,1,133.4017264,135.4467954,4721.7,7462.6,-52.7,-31.4,100.4,2.045
5,Spectrogram 1,1,145.0245791,147.2227221,4929,7646.8,-52.3,-30.6,101.1,2.198
6,Spectrogram 1,1,156.9474298,159.4211061,4629.6,7900.2,-55.2,-34,99.5,2.474
7,Spectrogram 1,1,203.0416177,205.1234245,4652.6,7669.9,-53.4,-32,100.2,2.082
8,Spectrogram 1,1,226.622357,229.1756318,4721.7,7646.8,-54.7,-34.2,99.6,2.553
9,Spectrogram 1,1,238.4954002,240.5221003,4813.8,7600.8,-53.7,-30,99.5,2.027
10,Spectrogram 1,1,260.950352,262.9035766,4767.8,7600.8,-52.2,-31.5,101,1.953
11,Spectrogram 1,1,284.3491043,286.5656163,4859.9,7923.2,-52.9,-31.5,101.1,2.217
12,Spectrogram 1,1,296.3515671,298.7089071,4675.6,7669.9,-54.7,-34.2,99.4,2.357
13,Spectrogram 1,1,319.7424946,321.6834733,4767.8,7669.9,-53.3,-30.8,99.9,1.941
14,Spectrogram 1,1,681.3661519,683.3683602,4813.8,7739,-54.2,-30.9,99.1,2.002
15,Spectrogram 1,1,692.8944273,694.9211275,4767.8,7715.9,-53.4,-31.5,100.1,2.027
16,Spectrogram 1,1,703.8648289,705.7017173,4906,7623.8,-51.7,-31.7,100.9,1.837
17,Spectrogram 1,1,739.1260261,741.5507187,4813.8,7669.9,-54.6,-34,99.4,2.425
18,Spectrogram 1,1,832.3063488,834.2044667,4882.9,7600.8,-53.1,-32.3,99.7,1.898
19,Spectrogram 1,1,1060.686837,1063.087038,4583.5,7577.7,-55,-34.5,99.2,2.4
20,Spectrogram 1,1,1094.955277,1096.877887,4721.7,7669.9,-52.1,-31.6,101,1.923
21,Spectrogram 1,1,1130.31889,1132.719091,4721.7,7831.1,-54.8,-34.1,99.5,2.4
22,Spectrogram 1,1,1153.738731,1155.698078,4698.7,7646.8,-53.4,-31.9,99.8,1.959
23,Spectrogram 1,1,1164.635504,1166.607097,4790.8,7600.8,-52.1,-31.3,100.9,1.972
24,Spectrogram 1,1,1200.030569,1202.449138,4744.7,7669.9,-54.7,-34.3,99.5,2.419
25,Spectrogram 1,1,1223.410088,1225.375558,4998.1,7669.9,-53,-32.3,99.7,1.965
