species,treat,stop,daybin,day,hour,hourbin,songs,hrsWithSong,typeA,typeB,percentB,binoA,binoB,rain,uv,uvt,uvPercent,totHours,withSong,withProp
baww,c,1,a,6.6,430,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,11,2,0.181818182
baww,c,1,a,6.6,530,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.6,630,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.6,730,E,5,1,5,0,0,1,0,1,0.191,1.91,19.1,,,
baww,c,1,a,6.6,830,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.6,930,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.6,1030,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.6,1130,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.3,1800,L,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.3,1900,L,2,1,2,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,a,6.3,2000,L,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,430,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,11,4,0.363636364
baww,c,1,b,6.4,530,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,630,E,32,1,32,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,730,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,830,M,6,1,6,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,930,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,1030,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,1130,M,0,0,0,0,,0,0,1,0.191,1.91,19.1,,,
baww,c,1,b,6.4,1800,L,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,1900,L,18,1,18,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,b,6.4,2000,L,5,1,5,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,430,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,11,7,0.636363636
baww,c,1,c,6.5,530,E,5,1,5,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,630,E,1,1,1,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,730,E,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,830,M,1,1,1,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,930,M,1,1,1,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,1030,M,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,1130,M,1,1,1,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,1800,L,6,1,6,0,0,1,0,0,0.191,1.91,19.1,,,
baww,c,1,c,6.5,1900,L,7,1,7,0,0,1,0,1,0.191,1.91,19.1,,,
baww,c,1,c,6.5,2000,L,0,0,0,0,,0,0,0,0.191,1.91,19.1,,,
baww,c,2,a,5.31,430,E,0,0,0,0,,0,0,1,0.205,2.05,20.5,11,2,0.181818182
baww,c,2,a,5.31,530,E,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.31,630,E,10,1,10,0,0,1,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.31,730,E,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.31,830,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.31,930,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.31,1030,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.31,1130,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.28,1800,L,8,1,0,8,100,0,1,0,0.205,2.05,20.5,,,
baww,c,2,a,5.28,1900,L,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,a,5.28,2000,L,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,430,E,0,0,0,0,,0,0,1,0.205,2.05,20.5,11,2,0.181818182
baww,c,2,b,5.29,530,E,0,0,0,0,,0,0,1,0.205,2.05,20.5,,,
baww,c,2,b,5.29,630,E,0,0,0,0,,0,0,1,0.205,2.05,20.5,,,
baww,c,2,b,5.29,730,E,5,1,5,0,0,1,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,830,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,930,M,0,0,0,0,,0,0,1,0.205,2.05,20.5,,,
baww,c,2,b,5.29,1030,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,1130,M,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,1800,L,23,1,23,0,0,1,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,1900,L,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
baww,c,2,b,5.29,2000,L,0,0,0,0,,0,0,0,0.205,2.05,20.5,,,
